NDB_No;Shrt_Desc;Water_(g);Energ_Kcal;Protein_(g);Lipid_Tot_(g);Carbohydrt_(g);Fiber_TD_(g);Sugar_Tot_(g);Iron_(mg);Cholestrl_(mg)
5664;GROUND TURKEY,FAT FREE,PATTIES,BRLD;684;138;2899;248;0;0;0;78;65
5662;GROUND TURKEY,FAT FREE,RAW;7466;112;2357;195;0;0;0;77;55
5305;GROUND TURKEY,RAW;7236;148;1966;766;0;0;0;109;69
9138;GROUNDCHERRIES,(CAPE-GOOSEBERRIES OR POHA),RAW;854;53;19;7;112;;;1;0
9139;GUAVAS,COMMON,RAW;808;68;255;95;1432;54;892;26;0
9140;GUAVAS,STRAWBERRY,RAW;8066;69;58;6;1736;54;;22;0
5152;GUINEA HEN,MEAT ONLY,RAW;7444;110;2064;247;0;0;;77;63
5151;GUINEA HEN,MEAT&SKN,RAW;689;158;234;645;0;0;;84;74
7026;HAM,CHOPPED,CANNED;6077;239;1606;1883;26;0;0;95;49
7027;HAM,CHOPPED,NOT CANNED;653;180;165;103;42;0;0;83;59
7030;HAM,MINCED;5735;263;1628;2068;184;0;0;79;70
7028;HAM,SLICED,PRE-PACKAGED,DELI MEAT (96%FAT FREE,H2O ADDED);7484;107;1685;404;7;0;0;59;41
7029;HAM,SLICED,REG (APPROX 11% FAT);6727;163;166;86;383;13;0;102;57
11961;HEARTS OF PALM,CANNED;902;28;252;62;462;24;;313;0
10856;HORMEL ALWAYS TENDER,BNLESS PORK LOIN,FRSH PORK;7135;145;1902;718;76;;8;6;49
10855;HORMEL ALWAYS TENDER,CNTR CUT CHOPS,FRSH PORK;6917;167;1874;962;84;;28;6;52
10854;HORMEL ALWAYS TENDER,PORK LOIN FILETS,LEMON GARLIC-FLAVORED;7353;118;1783;416;179;;22;6;42
10853;HORMEL ALWAYS TENDER,PORK TENDERLOIN,PEPPERCORN-FLAVORED;7444;110;1721;38;182;;14;11;47
10852;HORMEL ALWAYS TENDER,PORK TENDERLOIN,TERIYAKI-FLAVORED;719;119;182;307;463;;333;1;46
10857;HORMEL CANADIAN STYLE BACON;7295;122;1688;494;187;;143;9;49
10851;HORMEL,CURE 81 HAM;7425;106;1843;359;21;;0;8;51
9451;HORNED MELON (KIWANO);8897;44;178;126;756;;;113;
11788;HYACINTH-BEANS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT;869;50;295;27;92;;;76;0
11225;HYACINTH-BEANS,IMMAT SEEDS,CKD,BLD,DRND,WO/SALT;869;50;295;27;92;;;76;0
11224;HYACINTH-BEANS,IMMAT SEEDS,RAW;8787;46;21;2;919;33;408;74;0
19090;ICE CREAMS,FRENCH VANILLA,SOFT-SERVE;598;222;41;13;222;7;2116;21;91
19095;ICE CREAMS,VANILLA;61;207;35;11;236;7;2122;9;44
19088;ICE CREAMS,VANILLA,LT;5985;180;478;483;2946;3;2212;19;27
19096;ICE CREAMS,VANILLA,LT,SOFT-SERVE;696;126;49;26;218;0;1869;6;12
19089;ICE CREAMS,VANILLA,RICH;572;249;35;162;2229;0;2065;34;92
1240;ICE CRM CONE,CHOC COVERED,W/ NUTS,FLAVORS OTHER THAN CHOC;3743;354;521;2188;3438;1;25;0;21
1239;ICE CRM COOKIE SNDWCH;487;240;37;74;396;12;213;11;6
1238;ICE CRM SNDWCH;489;237;429;857;3714;0;1857;26;21
1241;ICE CRM SNDWCH,MADE W/ LT ICE CRM,VANILLA;5263;186;429;304;3964;0;1786;9;7
1242;ICE CRM SNDWCH,VANILLA,LT,NO SUGAR ADDED;4813;200;571;286;4286;71;658;0;21
1237;ICE CRM,BAR OR STK,CHOC COVERED;463;331;41;241;245;8;183;29;28
1263;ICE CRM,LT,SOFT SERVE,CHOC;6892;141;336;369;2315;0;1946;6;15
1236;ICE CRM,SOFT SERVE,CHOC;598;222;41;13;222;7;2116;21;91
9420;JACKFRUIT,CND,SYRUP PK;7528;92;36;14;2394;9;;29;0
9144;JACKFRUIT,RAW;7346;95;172;64;2325;15;1908;23;0
9145;JAVA-PLUM,(JAMBOLAN),RAW;8313;60;72;23;1556;;;19;0
11226;JERUSALEM-ARTICHOKES,RAW;7801;73;2;1;1744;16;96;34;0
11228;JEW'S EAR,(PEPEAO),RAW;9259;25;48;4;675;;;56;0
9443;JUICE,APPL & GRAPE BLEND,W/ ADDED VIT C;8705;50;16;12;1246;2;1092;11;0
9444;JUICE,APPL,GRAPE & PEAR BLEND,W/ ADDED VIT C & CA;8644;52;17;12;1296;2;995;14;0
9147;JUJUBE,CHINESE,FRSH,DRIED;2019;281;472;5;7252;6;;509;0
9146;JUJUBE,RAW;7786;79;12;2;2023;;;48;0
11789;JUTE,POTHERB,CKD,BLD,DRND,W/SALT;8715;37;368;2;729;2;1;314;0
11232;JUTE,POTHERB,CKD,BLD,DRND,WO/SALT;8715;37;368;2;729;2;1;314;0
11231;JUTE,POTHERB,RAW;8772;34;465;25;58;;;476;0
11790;KALE,CKD,BLD,DRND,W/SALT;912;28;19;4;563;2;125;9;0
11234;KALE,CKD,BLD,DRND,WO/SALT;912;28;19;4;563;2;125;9;0
11235;KALE,FROZEN,UNPREPARED;9112;28;266;46;49;2;;93;0
11791;KALE,FRZ,CKD,BLD,DRND,W/SALT;905;30;284;49;523;2;134;94;0
11236;KALE,FRZ,CKD,BLD,DRND,WO/SALT;905;30;284;49;523;2;134;94;0
11233;KALE,RAW;8404;49;428;93;875;36;226;147;0
11792;KALE,SCOTCH,CKD,BLD,DRND,W/SALT;912;28;19;41;562;;;193;0
11623;KALE,SCOTCH,CKD,BLD,DRND,WO/SALT;912;28;19;41;563;12;;193;0
11622;KALE,SCOTCH,RAW;87;42;28;6;832;17;;3;0
11237;KANPYO,(DRIED GOURD STRIPS);1997;258;858;56;6503;98;;512;0
1289;KEFIR,LOWFAT,PLN,LIFEWAY;9007;41;379;93;448;0;461;4;5
1290;KEFIR,LOWFAT,STRAWBERRY,LIFEWAY;8482;62;339;9;102;0;921;4;5
9148;KIWIFRUIT,GRN,RAW;8307;61;114;52;1466;3;899;31;0
9520;KIWIFRUIT,ZESPRI SUNGOLD,RAW;8244;63;102;28;1579;14;123;21;0
11793;KOHLRABI,CKD,BLD,DRND,W/SALT;903;29;18;11;669;11;28;4;0
11242;KOHLRABI,CKD,BLD,DRND,WO/SALT;903;29;18;11;669;11;28;4;0
11241;KOHLRABI,RAW;91;27;17;1;62;36;26;4;0
9149;KUMQUATS,RAW;8085;71;188;86;159;65;936;86;0
17456;"LAMB,AUS,FRSH,LEG,HINDSHANK,HEEL ON,BNE-IN,LN & FAT,1/8"",RAW";6733;196;2058;1268;0;0;0;147;59
17455;"LAMB,AUS,FRSH,LEG,HINDSHANK,HEEL ON,BNE-IN,LN & FT,1/8"",BRSD";6185;204;2952;95;0;0;0;2;110
17441;"LAMB,AUS,FRSH,LEG,HINDSHANK,HEEL ON,BONE-IN,LN,1/8"" FAT,RAW";7483;122;2249;353;0;0;0;158;54
17440;"LAMB,AUS,FRSH,LEG,HINDSHANK,HEEL ON,BONE-IN,LN,1/8"",BRSD";6487;174;3073;563;0;0;0;202;111
17458;"LAMB,AUS,FRSH,LEG,TROTTER OFF,BONE-IN,LN & FAT,1/8"" FAT,RAW";6868;175;2195;973;0;0;0;209;76
17457;"LAMB,AUS,FRSH,LEG,TROTTER OFF,BONE-IN,LN & FAT,1/8"" FAT,RSTD";5495;226;3015;1164;8;0;0;241;113
17445;"LAMB,AUS,FRSH,LEG,TROTTER OFF,BONE-IN,LN,1/8"" FAT,CKD,RSTD";5824;215;3208;959;0;0;0;255;117
17463;"LAMB,AUS,FRSH,RACK,RST,FRENCHED,BNE-IN,LN & FT,1/8"",RSTD";5333;291;2596;2077;0;0;0;247;97
17448;"LAMB,AUS,FRSH,RACK,RST,FRENCHED,BONE-IN,LN,1/8"" FAT,CKD,RSTD";5793;244;2801;1464;0;0;0;263;96
17462;"LAMB,AUS,FRSH,RACK,RST,FRNCHED,DNUDED,BNE-IN,LN & FT,0"",RSTD";6415;193;2595;991;0;0;0;192;97
17447;"LAMB,AUS,FRSH,RACK,RST,FRNCHED,DNUDED,BONE-IN,LN,0"",CKD,RSTD";6602;175;2652;763;0;0;0;194;97
17315;"LAMB,AUS,FRSH,RIB CHOP,FRENCHED,BNE-IN,LN & FAT,1/8"",GRILLED";4965;305;2848;212;0;0;0;224;91
17317;"LAMB,AUS,FRSH,RIB CHOP,FRNCHED,BONE-IN,LN,1/8"",CKD,GRILLED";5633;234;3216;1168;0;0;0;236;92
17461;"LAMB,AUS,FRSH,RIB CHOP,FRNCHED,DNUDED,BONE-IN,LN,0"",GRILLED";5536;236;3317;115;0;0;0;246;103
17316;"LAMB,AUS,FRSH,RIB CHOP/RACK RST,FRENCHED,BONE-IN,LN,1/8"",RAW";7048;147;2407;559;0;0;0;175;66
17281;"LAMB,AUS,IMP,FRSH,COMP OF RTL CUTS,LN&FAT,1/8""FAT,CKD";5871;256;2452;1682;0;;;193;87
17280;"LAMB,AUS,IMP,FRSH,COMP OF RTL CUTS,LN&FAT,1/8""FAT,RAW";6493;229;1784;1697;0;;;143;66
17283;"LAMB,AUS,IMP,FRSH,COMP OF RTL CUTS,LN,1/8""FAT,CKD";6375;201;2671;963;0;;;205;87
17282;"LAMB,AUS,IMP,FRSH,COMP OF RTL CUTS,LN,1/8""FAT,RAW";7322;142;2025;618;0;;;159;64
17285;LAMB,AUS,IMP,FRSH,FAT,CKD;24;639;942;664;0;;;111;83
17284;LAMB,AUS,IMP,FRSH,FAT,RAW;2508;648;627;6887;0;;;63;77
17287;"LAMB,AUS,IMP,FRSH,FORESHANK,LN&FAT,1/8""FAT,CKD,BRSD";6047;236;2478;1444;0;;;179;91
17286;"LAMB,AUS,IMP,FRSH,FORESHANK,LN&FAT,1/8""FAT,RAW";6831;195;1885;1268;0;;;138;67
17289;"LAMB,AUS,IMP,FRSH,FORESHANK,LN,1/8""FAT,CKD,BRSD";6693;165;275;522;0;;;191;92
17288;"LAMB,AUS,IMP,FRSH,FORESHANK,LN,1/8""FAT,RAW";7513;123;2083;381;0;;;15;66
17453;"LAMB,AUS,IMP,FRSH,LEG,BTTM,BNLESS,LN & FAT,1/8"" FAT,CKD,RSTD";6091;219;2754;1204;0;0;0;201;106
17454;"LAMB,AUS,IMP,FRSH,LEG,BTTM,BNLESS,LN & FAT,1/8"" FAT,RAW";6793;187;2097;1143;0;0;0;176;63
17439;"LAMB,AUS,IMP,FRSH,LEG,BTTM,BNLESS,LN,1/8"" FAT,CKD,RSTD";6387;190;286;835;0;0;0;204;107
17307;"LAMB,AUS,IMP,FRSH,LEG,CNTR SLCE,BNE-IN,LN&FT,1/8""FT,CKD,BRLD";6199;215;2554;1178;0;;;238;85
17306;"LAMB,AUS,IMP,FRSH,LEG,CNTR SLICE,BONE-IN,LN&FAT,1/8""FAT,RAW";6846;195;1917;1256;0;;;181;65
17309;"LAMB,AUS,IMP,FRSH,LEG,CNTR SLICE,BONE-IN,LN,1/8""FAT,CKD,BRLD";6485;183;2675;768;0;;;248;85
17308;"LAMB,AUS,IMP,FRSH,LEG,CNTR SLICE,BONE-IN,LN,1/8""FAT,RAW";7345;143;2065;608;0;;;194;64
17295;"LAMB,AUS,IMP,FRSH,LEG,SHANK HALF,LN&FAT,1/8""FAT,CKD,RSTD";6082;231;2525;1369;0;;;201;83
17294;"LAMB,AUS,IMP,FRSH,LEG,SHANK HALF,LN&FAT,1/8""FAT,RAW";6764;201;1859;1348;0;;;148;66
17297;"LAMB,AUS,IMP,FRSH,LEG,SHANK HALF,LN,1/8""FAT,CKD,RSTD";653;182;2718;727;0;;;213;83
17296;"LAMB,AUS,IMP,FRSH,LEG,SHANK HALF,LN,1/8""FAT,RAW";7408;133;2045;51;0;;;161;64
17302;"LAMB,AUS,IMP,FRSH,LEG,SIRL CHOPS,BNLESS,LN&FAT,1/8""FAT,RAW";6686;208;1833;1438;0;;;175;66
17305;"LAMB,AUS,IMP,FRSH,LEG,SIRL CHOPS,BNLESS,LN,1/8""FAT,CKD,BRLD";6408;188;2763;78;0;;;248;85
17303;"LAMB,AUS,IMP,FRSH,LEG,SIRL CHPS,BNLESS,LN&FT,1/8""FT,CKD,BRLD";5995;235;2575;1383;0;;;234;85
17301;"LAMB,AUS,IMP,FRSH,LEG,SIRL HALF,BNLESS,LN,1/8""FAT,CKD,RSTD";6218;215;2775;1065;0;;;224;105
17299;"LAMB,AUS,IMP,FRSH,LEG,SIRL HLF,BNLESS,LN&FT,1/8""FAT,CKD,RSTD";562;281;2488;1938;0;;;206;102
17304;"LAMB,AUS,IMP,FRSH,LEG,SIRLOIN CHOPS,BNLESS,LN,1/8""FAT,RAW";7413;132;2043;491;0;;;194;64
17298;"LAMB,AUS,IMP,FRSH,LEG,SIRLOIN HALF,BNLESS,LN&FAT,1/8""FAT,RAW";6263;254;1725;20;0;;;15;66
17300;"LAMB,AUS,IMP,FRSH,LEG,SIRLOIN HALF,BNLESS,LN,1/8""FAT,RAW";7368;138;2048;564;0;;;175;63
17446;"LAMB,AUS,IMP,FRSH,LEG,TROTTER OFF,BONE-IN,LN,1/8"" FAT,RAW";7302;131;2311;433;0;0;0;225;76
17291;"LAMB,AUS,IMP,FRSH,LEG,WHL (SHK&SIRL),LN&FAT,1/8""FAT,CKD,RSTD";5965;244;2516;1513;0;;;203;88
17290;"LAMB,AUS,IMP,FRSH,LEG,WHL (SHK&SIRL),LN&FAT,1/8""FAT,RAW";6633;215;1824;1519;0;;;148;66
17293;"LAMB,AUS,IMP,FRSH,LEG,WHL (SHK&SIRL),LN,1/8""FAT,CKD,RSTD";6454;190;2731;81;0;;;215;89
17292;"LAMB,AUS,IMP,FRSH,LEG,WHL (SHK&SIRL),LN,1/8""FAT,RAW";7398;135;2046;523;0;;;164;64
17311;"LAMB,AUS,IMP,FRSH,LOIN,LN&FAT,1/8""FAT,CKD,BRLD";62;219;2549;1225;0;;;212;82
17310;"LAMB,AUS,IMP,FRSH,LOIN,LN&FAT,1/8""FAT,RAW";668;203;1932;1338;0;;;166;66
17313;"LAMB,AUS,IMP,FRSH,LOIN,LN,1/8""FAT,CKD,BRLD";6445;192;2653;875;0;;;218;81
17312;"LAMB,AUS,IMP,FRSH,LOIN,LN,1/8""FAT,RAW";7217;146;21;624;0;;;179;64
17464;"LAMB,AUS,IMP,FRSH,RIB CHOP,FRENCHED,DNUDED,BN-IN,L&F,0"",GRLD";5174;276;309;1696;0;0;0;237;101
17323;"LAMB,AUS,IMP,FRSH,SHLDR,ARM,LN&FAT,1/8""FAT,CKD,BRSD";5103;311;297;2038;0;;;242;106
17322;"LAMB,AUS,IMP,FRSH,SHLDR,ARM,LN&FAT,1/8""FAT,RAW";6382;243;1706;1889;0;;;135;65
17325;"LAMB,AUS,IMP,FRSH,SHLDR,ARM,LN,1/8""FAT,CKD,BRSD";5698;238;3417;1023;0;;;271;111
17324;"LAMB,AUS,IMP,FRSH,SHLDR,ARM,LN,1/8""FAT,RAW";7395;137;1988;581;0;;;154;62
17327;"LAMB,AUS,IMP,FRSH,SHLDR,BLADE,LN&FAT,1/8""FAT,CKD,BRLD";5663;291;2171;2203;0;;;158;84
17326;"LAMB,AUS,IMP,FRSH,SHLDR,BLADE,LN&FAT,1/8""FAT,RAW";6213;262;1648;2128;0;;;121;67
17329;"LAMB,AUS,IMP,FRSH,SHLDR,BLADE,LN,1/8""FAT,CKD,BRLD";6225;231;2383;1438;0;;;167;85
17328;"LAMB,AUS,IMP,FRSH,SHLDR,BLADE,LN,1/8""FAT,RAW";7162;164;191;909;0;;;136;64
17319;"LAMB,AUS,IMP,FRSH,SHLDR,WHL (ARM&BLD),LN&FAT,1/8""FAT,CKD";5531;296;2358;2165;0;;;178;89
17318;"LAMB,AUS,IMP,FRSH,SHLDR,WHL (ARM&BLD),LN&FAT,1/8""FAT,RAW";627;256;1668;2047;0;;;126;66
17321;"LAMB,AUS,IMP,FRSH,SHLDR,WHL (ARM&BLD),LN,1/8""FAT,CKD";6105;233;2618;1344;0;;;19;91
17320;"LAMB,AUS,IMP,FRSH,SHLDR,WHL (ARM&BLD),LN,1/8""FAT,RAW";7239;155;1936;801;0;;;142;64
17460;"LAMB,AUS,IMP,FRSH,TENDERLOIN,BNLESS,LN & FAT,1/8"" FAT,RAW";7183;143;2323;552;0;0;0;225;76
17459;"LAMB,AUS,IMP,FRSH,TENDERLOIN,BNLESS,LN & FAT,1/8"" FAT,RSTD";6238;187;3087;702;0;0;0;252;110
17442;"LAMB,AUS,IMP,FRSH,TENDERLOIN,BNLESS,LN,1/8"" FAT,CKD,RSTD";6262;184;3097;671;0;0;0;252;111
17314;"LAMB,AUS,RIB CHOP/RACK RST,FRENCHED,BONE-IN,LN & FT,1/8"",RAW";6186;237;2126;1689;0;0;0;155;69
17353;LAMB,AUSTRALIAN,GROUND,85% LN / 15% FAT,RAW;6146;255;1714;2071;0;;;141;73
17449;LAMB,AUSTRALIAN,IMP,FRSH,EXTERNAL FAT,CKD;2709;538;169;523;0;0;0;198;81
17450;LAMB,AUSTRALIAN,IMP,FRSH,EXTERNAL FAT,RAW;3841;487;1259;485;0;0;0;108;71
17444;"LAMB,AUSTRALIAN,IMP,FRSH,LEG,BTTM,BNLESS,LN,1/8"" FAT,RAW";7294;136;2228;524;0;0;0;188;61
17451;LAMB,AUSTRALIAN,IMP,FRSH,SEAM FAT,CKD;2925;554;1381;5472;155;0;0;139;110
17452;LAMB,AUSTRALIAN,IMP,FRSH,SEAM FAT,RAW;4032;459;1565;4401;0;0;0;98;90
17443;"LAMB,AUSTRALIAN,IMP,FRSH,TENDERLOIN,BNLESS,LN,1/8"" FAT,RAW";7245;136;2342;473;0;0;0;227;76
17006;"LAMB,DOM,COMP OF RTL CUTS,FAT,1/4""FAT,CHOIC,CKD";2614;586;1216;5918;0;0;0;129;114
17005;"LAMB,DOM,COMP OF RTL CUTS,FAT,1/4""FAT,CHOIC,RAW";2254;665;665;7061;0;0;;98;90
17002;"LAMB,DOM,COMP OF RTL CUTS,LN&FAT,1/4""FAT,CHOIC,CKD";5372;294;2452;2094;0;0;0;188;97
17001;"LAMB,DOM,COMP OF RTL CUTS,LN&FAT,1/4""FAT,CHOIC,RAW";607;267;1688;2159;0;0;;157;72
17227;"LAMB,DOM,COMP OF RTL CUTS,LN&FAT,1/8""FAT,CHOIC,CKD";5582;271;2551;1801;0;0;;193;96
17226;"LAMB,DOM,COMP OF RTL CUTS,LN&FAT,1/8""FAT,CHOIC,RAW";6317;243;1754;1866;0;0;;162;70
17004;"LAMB,DOM,COMP OF RTL CUTS,LN,1/4""FAT,CHOIC,CKD";6196;206;2822;952;0;0;;205;92
17003;"LAMB,DOM,COMP OF RTL CUTS,LN,1/4""FAT,CHOIC,RAW";7342;134;2029;525;0;0;;177;65
17061;"LAMB,DOM,CUBED FOR STEW (LEG&SHLDR),LN,1/4""FAT,CKD,BRLD";6353;186;2808;733;0;0;;234;90
17060;"LAMB,DOM,CUBED FOR STEW (LEG&SHLDR),LN,1/4""FAT,CKD,BRSD";5623;223;3369;88;0;0;0;28;108
17059;"LAMB,DOM,CUBED FOR STEW OR KABOB (LEG&SHLDR),LN,1/4""FAT,RAW";7374;134;2021;528;0;0;;177;65
17008;"LAMB,DOM,FORESHANK,LN&FAT,1/4""FAT,CHOIC,CKD,BRSD";568;243;2837;1346;0;0;0;214;106
17007;"LAMB,DOM,FORESHANK,LN&FAT,1/4""FAT,CHOIC,RAW";6701;201;1891;1338;0;0;;167;72
17228;"LAMB,DOM,FORESHANK,LN&FAT,1/8""FAT,CHOIC,RAW";6701;201;1891;1338;0;0;;167;72
17229;"LAMB,DOM,FORESHANK,LN&FAT,1/8""FAT,CKD,BRSD";568;243;2837;1346;0;0;;214;106
17010;"LAMB,DOM,FORESHANK,LN,1/4""FAT,CHOIC,CKD,BRSD";6179;187;3101;602;0;0;;227;104
17009;"LAMB,DOM,FORESHANK,LN,1/4""FAT,CHOIC,RAW";7486;120;2108;329;0;0;;179;69
17016;"LAMB,DOM,LEG,SHANK HALF,LN&FAT,1/4""FAT,CHOIC,CKD,RSTD";6066;225;2641;1245;0;0;;198;90
17015;"LAMB,DOM,LEG,SHANK HALF,LN&FAT,1/4""FAT,CHOIC,RAW";6717;201;1858;1349;0;0;;171;67
17233;"LAMB,DOM,LEG,SHANK HALF,LN&FAT,1/8""FAT,CHOIC,CKD,RSTD";6143;217;2673;114;0;0;;199;90
17232;"LAMB,DOM,LEG,SHANK HALF,LN&FAT,1/8""FAT,CHOIC,RAW";6873;185;1899;115;0;0;;173;67
17018;"LAMB,DOM,LEG,SHANK HALF,LN,1/4""FAT,CHOIC,CKD,RSTD";6492;180;2817;667;0;0;;206;87
17017;"LAMB,DOM,LEG,SHANK HALF,LN,1/4""FAT,CHOIC,RAW";7444;125;2052;419;0;0;;182;64
17020;"LAMB,DOM,LEG,SIRLOIN HALF,LN&FAT,1/4""FAT,CHOIC,CKD,RSTD";5413;292;2463;2067;0;0;;2;97
17019;"LAMB,DOM,LEG,SIRLOIN HALF,LN&FAT,1/4""FAT,CHOIC,RAW";603;272;1694;2211;0;0;;161;72
17235;"LAMB,DOM,LEG,SIRLOIN HALF,LN&FAT,1/8""FAT,CHOIC,CKD,RSTD";5485;284;2495;1967;0;0;;201;96
17234;"LAMB,DOM,LEG,SIRLOIN HALF,LN&FAT,1/8""FAT,CHOIC,RAW";6132;261;1721;208;0;0;;163;71
17022;"LAMB,DOM,LEG,SIRLOIN HALF,LN,1/4""FAT,CHOIC,CKD,RSTD";6249;204;2835;917;0;0;;22;92
17021;"LAMB,DOM,LEG,SIRLOIN HALF,LN,1/4""FAT,CHOIC,RAW";7357;134;2055;508;0;0;;183;66
17012;"LAMB,DOM,LEG,WHL (SHK&SIRL),LN&FAT,1/4""FAT,CHOIC,CKD,RSTD";5748;258;2555;1648;0;0;0;198;93
17011;"LAMB,DOM,LEG,WHL (SHK&SIRL),LN&FAT,1/4""FAT,CHOIC,RAW";6432;230;1791;1707;0;0;;166;69
17231;"LAMB,DOM,LEG,WHL (SHK&SIRL),LN&FAT,1/8""FAT,CHOIC,CKD,RSTD";5899;242;262;1442;0;0;;202;92
17230;"LAMB,DOM,LEG,WHL (SHK&SIRL),LN&FAT,1/8""FAT,CHOIC,RAW";6638;209;1847;1442;0;0;;17;68
17014;"LAMB,DOM,LEG,WHL (SHK&SIRL),LN,1/4""FAT,CHOIC,CKD,RSTD";6389;191;283;774;0;0;0;212;89
17013;"LAMB,DOM,LEG,WHL (SHK&SIRL),LN,1/4""FAT,CHOIC,RAW";7411;128;2056;451;0;0;;182;64
17024;"LAMB,DOM,LOIN,LN&FAT,1/4""FAT,CHOIC,CKD,BRLD";5157;316;2517;2308;0;0;0;181;100
17025;"LAMB,DOM,LOIN,LN&FAT,1/4""FAT,CHOIC,CKD,RSTD";525;309;2255;2359;0;0;0;212;95
17023;"LAMB,DOM,LOIN,LN&FAT,1/4""FAT,CHOIC,RAW";5655;310;1632;2663;0;0;;161;74
17237;"LAMB,DOM,LOIN,LN&FAT,1/8""FAT,CHOIC,CKD,BRLD";5331;297;2606;2061;0;0;;184;99
17238;"LAMB,DOM,LOIN,LN&FAT,1/8""FAT,CHOIC,CKD,RSTD";5433;290;2327;2112;0;0;;217;93
17236;"LAMB,DOM,LOIN,LN&FAT,1/8""FAT,CHOIC,RAW";5955;279;1718;2275;0;0;;166;72
17027;"LAMB,DOM,LOIN,LN,1/4""FAT,CHOIC,CKD,BRLD";6098;216;2999;973;0;0;0;2;95
17028;"LAMB,DOM,LOIN,LN,1/4""FAT,CHOIC,CKD,RSTD";6276;202;2659;976;0;0;;244;87
17026;"LAMB,DOM,LOIN,LN,1/4""FAT,CHOIC,RAW";7255;143;2088;594;0;0;;191;66
17030;"LAMB,DOM,RIB,LN&FAT,1/4""FAT,CHOIC,CKD,BRLD";4706;361;2213;2959;0;0;0;188;99
17031;"LAMB,DOM,RIB,LN&FAT,1/4""FAT,CHOIC,CKD,RSTD";4789;359;2112;2982;0;0;;16;97
17029;"LAMB,DOM,RIB,LN&FAT,1/4""FAT,CHOIC,RAW";508;372;1452;3439;0;0;;139;76
17240;"LAMB,DOM,RIB,LN&FAT,1/8""FAT,CHOIC,CKD,BRLD";4903;340;2306;2682;0;0;;193;98
17241;"LAMB,DOM,RIB,LN&FAT,1/8""FAT,CHOIC,CKD,RSTD";4959;341;2182;2753;0;0;;162;96
17239;"LAMB,DOM,RIB,LN&FAT,1/8""FAT,CHOIC,RAW";5368;342;1532;3071;0;0;;143;74
17033;"LAMB,DOM,RIB,LN,1/4""FAT,CHOIC,CKD,BRLD";5883;235;2774;1295;0;0;0;221;91
17034;"LAMB,DOM,RIB,LN,1/4""FAT,CHOIC,CKD,RSTD";6013;232;2616;1331;0;0;;177;88
17032;"LAMB,DOM,RIB,LN,1/4""FAT,CHOIC,RAW";7044;169;1998;923;0;0;;167;66
17045;"LAMB,DOM,SHLDR,ARM,LN&FAT,1/4""FAT,CHOIC,CKD,BRLD";5469;281;2444;1955;0;0;;209;96
17044;"LAMB,DOM,SHLDR,ARM,LN&FAT,1/4""FAT,CHOIC,CKD,BRSD";4422;346;3039;24;0;0;;239;120
17046;"LAMB,DOM,SHLDR,ARM,LN&FAT,1/4""FAT,CHOIC,CKD,RSTD";5592;279;2253;2024;0;0;;203;92
17043;"LAMB,DOM,SHLDR,ARM,LN&FAT,1/4""FAT,CHOIC,RAW";6176;260;1679;209;0;0;;156;71
17247;"LAMB,DOM,SHLDR,ARM,LN&FAT,1/8""FAT,CHOIC,CKD,BRSD";4492;337;311;2265;0;0;;243;120
17246;"LAMB,DOM,SHLDR,ARM,LN&FAT,1/8""FAT,CHOIC,RAW";633;244;1719;1894;0;0;;158;70
17249;"LAMB,DOM,SHLDR,ARM,LN&FAT,1/8""FAT,CHOIC,RSTD";5707;267;2293;1875;0;0;;205;91
17248;"LAMB,DOM,SHLDR,ARM,LN&FAT,1/8""FAT,CKD,BRLD";5577;269;2491;1805;0;0;;212;96
17049;"LAMB,DOM,SHLDR,ARM,LN,1/4""FAT,CHOIC,CKD,BRLD";6228;200;2771;902;0;0;;231;92
17048;"LAMB,DOM,SHLDR,ARM,LN,1/4""FAT,CHOIC,CKD,BRSD";4932;279;3554;1408;0;0;;27;121
17050;"LAMB,DOM,SHLDR,ARM,LN,1/4""FAT,CHOIC,CKD,RSTD";6432;192;2546;926;0;0;;223;86
17047;"LAMB,DOM,SHLDR,ARM,LN,1/4""FAT,CHOIC,RAW";7414;132;1999;52;0;0;;174;64
17053;"LAMB,DOM,SHLDR,BLADE,LN&FAT,1/4""FAT,CHOIC,CKD,BRLD";5592;278;2308;1994;0;0;0;172;95
17052;"LAMB,DOM,SHLDR,BLADE,LN&FAT,1/4""FAT,CHOIC,CKD,BRSD";4518;345;2851;2473;0;0;;235;116
17054;"LAMB,DOM,SHLDR,BLADE,LN&FAT,1/4""FAT,CHOIC,CKD,RSTD";5585;281;2225;2061;0;0;;192;92
17051;"LAMB,DOM,SHLDR,BLADE,LN&FAT,1/4""FAT,CHOIC,RAW";619;259;1663;2086;0;0;;148;72
17252;"LAMB,DOM,SHLDR,BLADE,LN&FAT,1/8""FAT,CHOIC,CKD,BRLD";5701;267;2348;185;0;0;;173;95
17251;"LAMB,DOM,SHLDR,BLADE,LN&FAT,1/8""FAT,CHOIC,CKD,BRSD";4565;339;2892;2388;0;0;;238;116
17253;"LAMB,DOM,SHLDR,BLADE,LN&FAT,1/8""FAT,CHOIC,CKD,RSTD";5695;270;2262;1919;0;0;;195;92
17250;"LAMB,DOM,SHLDR,BLADE,LN&FAT,1/8""FAT,CHOIC,RAW";6339;244;1701;1897;0;0;;15;71
