NDB_No;Shrt_Desc;Water_(g);Energ_Kcal;Protein_(g);Lipid_Tot_(g);Carbohydrt_(g);Fiber_TD_(g);Sugar_Tot_(g);Iron_(mg);Cholestrl_(mg)
43523;BABYFOOD,MXD FRUIT YOGURT,STR;818;75;8;8;1623;4;1174;2;0
3141;BABYFOOD,PEARS,DICES,TODD;856;57;3;1;136;12;866;2;0
3122;BABYFOOD,PEAS,DICES,TODD;846;64;39;8;103;39;413;1;0
3112;BABYFOOD,POTATOES,TODDLER;868;52;1;1;1173;9;91;2;0
3139;BABYFOOD,PRUNES,WO/VIT C,STR;743;100;1;2;2352;27;1428;4;0
3019;BABYFOOD,SNACK,GERBER GRADUATE FRUIT STRIPS,REAL FRUIT BARS;1909;330;82;224;7661;2;6865;105;0
3098;BABYFOOD,VEG,BEETS,STR;901;34;13;1;77;19;609;32;0
3114;BABYFOOD,VEG,BUTTERNUT SQUASH&CORN;873;50;2;6;926;2;293;4;0
3100;BABYFOOD,VEG,CARROTS,JR;91;32;8;2;72;17;316;39;0
3099;BABYFOOD,VEG,CARROTS,STR;923;26;8;1;6;17;364;37;0
3120;BABYFOOD,VEG,CORN,CRMD,JR;814;65;14;4;1625;21;148;27;1
3119;BABYFOOD,VEG,CORN,CRMD,STR;836;57;14;4;141;21;123;28;1
3283;BABYFOOD,VEG,GARDEN VEG,STR;90;32;23;2;68;15;257;83;0
3096;BABYFOOD,VEG,GRN BNS&POTATOES;862;62;22;19;9;14;235;5;5
3092;BABYFOOD,VEG,GRN BNS,JR;925;24;12;1;58;19;108;108;0
3091;BABYFOOD,VEG,GRN BNS,STR;9185;27;12;17;629;22;188;67;0
3282;BABYFOOD,VEG,MIX VEG JR;894;36;14;4;82;15;178;41;0
3286;BABYFOOD,VEG,MIX VEG STR;898;36;1;5;825;15;157;32;0
3121;BABYFOOD,VEG,PEAS,STR;8752;50;327;43;836;2;201;95;0
3127;BABYFOOD,VEG,SPINACH,CRMD,STR;896;37;25;13;57;18;233;62;5
3105;BABYFOOD,VEG,SQUASH,JR;9266;24;81;2;573;9;324;32;0
